"""Ada penurunan kasus aktif setelah vaksinasi. Tidak hanya di Kota Tegal, tapi di Indonesia juga turun angkanya,"" kata Kepala Dinas Kesehatan Kota Tegal Sri Primawati Indraswari, Senin (15/2). #VaksinasiNasional #dinaskesehatan #kotategal",1
"""MUI Keluarkan Fatwa bahwa Vaksinasi Tak Batalkan Puasa"" Wakil Presiden KH. Ma'ruf Amin memastikan kembali vaksinasi Covid-19 yang dilaksanakan bulan Ramadhan tidak akan membatalkan puasa. Saya Siaaap Divaksin! Indonesia Bebas Covid-19.. Aamiin #VaksinasiNasional",1
"""SEMUA nantinya bisa terlindungi dan tidak terpapar oleh Covid, sehingga bisa beraktivitas seperti biasa"", harap Presiden RI Joko Widodo yang menyaksikan proses vaksinasi dan beramahtamah dengan mereka. #jokowi @jokowi #VaksinasiNasional #vaksinuntukkita",1
"#Healthies, @KemenkesRI memberikan kesempatan buat kamu para pendamping yang membawa 2 lansia bisa ikut divaksinasi juga lho. Tunggu apa lagi, yuk segera daftarkan lansia ke sentra-sentra vaksinasi terdekatmu ya. #Vaksinasi #VaksinasiNasional",1
"#PeringatanDiniJKT Batas Gaji beli rumah Dp Nol Rupiah DKI Jakarta 14 juta , rakyat Jakarta gaji berapa ? Sarapan Pagii Hujan Sikat Pengkhianat Negeri #VaksinasiNasional RT @CNNIndonesia: Anies Ubah Batas Gaji Beli Rumah DP Nol Rupiah Jadi Rp14 Juta",1
"#RekanASN dan Sahabat Muda, para pegawai Kementerian PANRB telah melakukan vaksinasi tahap pertama. Yuk, jadi bagian untuk #SukseskanVaksinasi! Tapi ingat, meski sudah divaksin, tetap disiplin terapkan 5M, ya! __ #KemenPANRB #VaksinasiNasional #VaksinAman",1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @kostumkomik:,1
#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @VIVAcoid: [VIDEO] Siti Fadilah Buka Suara Soal Vaksin Nusantara  #vlix,1
"#SobatParekraf, Pagi ini Presiden Joko Widodo bertolak menuju Provinsi Bali dalam rangka kunjungan kerja. #WonderfulIndonesia #EkonomiKreatif #VaksinasiNasional #BangkitBersamaKemenparekraf",1
"#TemanPemilih, dalam rangka mengikuti program pemerintah, Sekretariat Jenderal KPU RI siap menggelar vaksinasi. Ini rencana alurnya.. #KPUmelayani #VaksinasiNasional @KemenkesRI",1
